"order_id","order_date","ship_date","ship_mode","customer_id","segment","postal_code","product_id","sales","quantity","discount","profit"
CA-2015-124919,"2015-05-31","2015-06-02",First Class,SP-20650,Corporate,95123,OFF-PA-10002254,106,4,0,49
CA-2015-118948,"2015-05-28","2015-06-03",Standard Class,NK-18490,Home Office,98105,OFF-AR-10001547,7,3,0,2
CA-2014-104269,"2014-03-01","2014-03-06",Second Class,DB-13060,Consumer,98115,FUR-CH-10004063,458,2,0,51
CA-2016-113817,"2016-11-07","2016-11-11",Standard Class,MJ-17740,Consumer,98115,OFF-BI-10004002,28,2,0,10
CA-2014-118962,"2014-08-05","2014-08-09",Standard Class,CS-12130,Consumer,90004,OFF-PA-10000659,21,3,0,10
US-2015-101511,"2015-11-21","2015-11-23",Second Class,JE-15745,Consumer,43055,FUR-CH-10004698,397,7,0,-11
CA-2015-137225,"2015-12-15","2015-12-19",Standard Class,JK-15640,Home Office,10009,OFF-AR-10001940,3,1,0,1
CA-2014-166191,"2014-12-05","2014-12-09",Second Class,DK-13150,Corporate,62521,OFF-ST-10003455,25,2,0,2
CA-2015-102281,"2015-10-12","2015-10-14",First Class,MP-17470,Home Office,10035,FUR-BO-10002545,626,3,0,47
CA-2014-133690,"2014-08-03","2014-08-05",First Class,BS-11755,Consumer,80219,FUR-TA-10004289,219,2,1,-162
CA-2014-133690,"2014-08-03","2014-08-05",First Class,BS-11755,Consumer,80219,OFF-AP-10003622,3,1,0,0
CA-2017-108329,"2017-12-09","2017-12-14",Standard Class,LE-16810,Consumer,90604,TEC-PH-10001918,445,4,0,44
CA-2016-130162,"2016-10-28","2016-11-01",Standard Class,JH-15910,Consumer,90032,OFF-ST-10001328,93,6,0,26
US-2017-100930,"2017-04-07","2017-04-12",Standard Class,CS-12400,Home Office,33614,TEC-AC-10003832,618,3,0,-8
CA-2014-131926,"2014-06-01","2014-06-06",Second Class,DW-13480,Home Office,55044,OFF-AP-10002945,1503,5,0,496
CA-2016-146941,"2016-12-10","2016-12-13",First Class,DL-13315,Consumer,10024,OFF-EN-10003296,362,4,0,163
US-2014-106992,"2014-09-19","2014-09-21",Second Class,SB-20290,Corporate,77036,TEC-MA-10000822,3060,3,0,-510
CA-2015-155040,"2015-11-10","2015-11-15",Standard Class,AH-10210,Consumer,94513,TEC-AC-10004469,80,2,0,35
CA-2017-163979,"2017-12-28","2018-01-02",Second Class,KH-16690,Corporate,94110,OFF-ST-10003208,726,4,0,210
US-2015-161991,"2015-09-26","2015-09-28",Second Class,SC-20725,Consumer,77070,TEC-PH-10001760,1114,7,0,376
CA-2015-144253,"2015-05-04","2015-05-09",Second Class,AS-10225,Corporate,10024,FUR-FU-10002671,27,2,0,13
CA-2014-167850,"2014-08-09","2014-08-16",Standard Class,AG-10525,Corporate,33710,TEC-PH-10002398,178,2,0,22
US-2015-120712,"2015-12-20","2015-12-24",Standard Class,CS-12130,Consumer,78745,OFF-ST-10000107,89,4,0,-2
CA-2016-129714,"2016-09-01","2016-09-03",First Class,AB-10060,Home Office,10009,OFF-PA-10001970,25,2,0,12
CA-2017-155698,"2017-03-08","2017-03-11",First Class,VB-21745,Corporate,31907,OFF-LA-10001158,21,2,0,10
CA-2014-123344,"2014-09-24","2014-09-29",Standard Class,JD-16060,Consumer,94109,OFF-ST-10001713,212,4,0,8
CA-2017-117457,"2017-12-08","2017-12-12",Standard Class,KH-16510,Consumer,94110,OFF-PA-10003724,27,5,0,13
CA-2017-117457,"2017-12-08","2017-12-12",Standard Class,KH-16510,Consumer,94110,OFF-PA-10002893,10,1,0,5
CA-2017-117457,"2017-12-08","2017-12-12",Standard Class,KH-16510,Consumer,94110,OFF-LA-10003766,28,9,0,14
CA-2016-148796,"2016-04-14","2016-04-18",Standard Class,PB-19150,Consumer,90004,FUR-CH-10004886,384,5,0,38
CA-2017-154816,"2017-11-06","2017-11-10",Standard Class,VB-21745,Corporate,40475,OFF-PA-10003845,6,1,0,3
CA-2017-125388,"2017-10-19","2017-10-23",Standard Class,MP-17965,Corporate,1841,FUR-FU-10004712,57,4,0,15
US-2016-123750,"2016-04-15","2016-04-21",Standard Class,RB-19795,Home Office,28052,TEC-AC-10004659,409,7,0,77
CA-2016-115756,"2016-09-05","2016-09-07",Second Class,PK-19075,Consumer,48227,FUR-CH-10002372,243,3,0,29
CA-2017-154214,"2017-03-20","2017-03-25",Second Class,TB-21595,Consumer,47201,FUR-FU-10000206,3,1,0,1
CA-2017-147277,"2017-10-20","2017-10-24",Standard Class,EB-13705,Corporate,44312,FUR-TA-10001539,284,2,0,-76
CA-2017-147277,"2017-10-20","2017-10-24",Standard Class,EB-13705,Corporate,44312,OFF-ST-10000142,665,2,0,67
CA-2017-154907,"2017-03-31","2017-04-04",Standard Class,DS-13180,Corporate,79109,FUR-BO-10002824,205,2,0,-36
CA-2015-154144,"2015-12-20","2015-12-24",Standard Class,MH-17785,Corporate,11757,OFF-PA-10004071,55,1,0,27
CA-2014-144666,"2014-11-09","2014-11-11",Second Class,JP-15520,Consumer,94110,FUR-BO-10001601,223,2,0,10
CA-2014-154627,"2014-10-29","2014-10-31",First Class,SA-20830,Consumer,60610,TEC-PH-10001363,2736,6,0,342
CA-2016-126158,"2016-07-25","2016-07-31",Standard Class,SC-20095,Consumer,92627,FUR-FU-10004864,256,4,0,82
US-2016-105578,"2016-05-30","2016-06-04",Standard Class,MY-17380,Corporate,80134,OFF-BI-10000831,2,3,1,-2
CA-2017-127432,"2017-01-22","2017-01-27",Standard Class,AD-10180,Home Office,59405,OFF-ST-10004507,51,3,0,14
US-2016-139486,"2016-05-21","2016-05-23",First Class,LH-17155,Consumer,90032,TEC-PH-10003555,55,3,0,-12
US-2015-138303,"2015-09-03","2015-09-07",Standard Class,MG-18145,Consumer,19134,OFF-EN-10001335,53,6,0,20
CA-2017-101945,"2017-11-24","2017-11-28",Standard Class,GT-14710,Consumer,77070,OFF-FA-10004248,11,3,0,3
CA-2017-100650,"2017-06-29","2017-07-03",Second Class,DK-13225,Corporate,92804,OFF-ST-10001780,1296,2,0,311
CA-2017-156951,"2017-10-01","2017-10-08",Standard Class,EB-13840,Corporate,98105,OFF-PA-10004530,92,8,0,45
CA-2015-128139,"2015-07-03","2015-07-09",Standard Class,BD-11725,Consumer,40475,OFF-LA-10003930,295,3,0,145
US-2016-156986,"2016-03-20","2016-03-24",Standard Class,ZC-21910,Consumer,97301,OFF-PA-10004101,10,2,0,4
US-2014-105767,"2014-05-23","2014-05-27",Standard Class,AR-10510,Consumer,19134,TEC-PH-10003092,55,2,0,-10
CA-2017-117947,"2017-08-18","2017-08-23",Second Class,NG-18355,Corporate,10011,FUR-FU-10000010,10,2,0,3
CA-2017-144694,"2017-09-24","2017-09-26",Second Class,BD-11605,Consumer,33180,OFF-LA-10003930,236,3,0,86
CA-2016-132661,"2016-10-23","2016-10-29",Standard Class,SR-20740,Home Office,10024,OFF-PA-10000482,379,10,0,178
US-2016-156097,"2016-09-19","2016-09-19",Same Day,EH-14125,Home Office,60505,OFF-BI-10004654,2,2,1,-3
US-2017-106663,"2017-06-09","2017-06-13",Standard Class,MO-17800,Home Office,60653,FUR-FU-10002759,24,3,1,-14
US-2017-119438,"2017-03-18","2017-03-23",Standard Class,CD-11980,Consumer,75701,FUR-FU-10003553,83,3,1,-41
US-2017-168116,"2017-11-04","2017-11-04",Same Day,GT-14635,Corporate,27217,TEC-MA-10004125,8000,4,1,-3840
US-2014-117135,"2014-06-21","2014-06-23",Second Class,NP-18325,Consumer,22980,OFF-ST-10002444,37,3,0,10
CA-2015-119291,"2015-05-14","2015-05-17",First Class,JO-15550,Home Office,19013,OFF-BI-10001982,5,3,1,-3
CA-2016-112942,"2016-02-13","2016-02-18",Standard Class,RD-19810,Home Office,90045,OFF-PA-10004092,147,3,0,73
US-2016-150861,"2016-12-03","2016-12-06",First Class,EG-13900,Consumer,11572,OFF-LA-10001317,6,2,0,3
CA-2017-131954,"2017-01-21","2017-01-25",Standard Class,DS-13030,Home Office,98115,OFF-BI-10003982,100,6,0,34
CA-2014-112326,"2014-01-04","2014-01-08",Standard Class,PO-19195,Home Office,60540,OFF-LA-10003223,12,3,0,4
CA-2014-112326,"2014-01-04","2014-01-08",Standard Class,PO-19195,Home Office,60540,OFF-BI-10004094,4,2,1,-5
CA-2016-110499,"2016-04-07","2016-04-09",First Class,YC-21895,Corporate,94110,TEC-CO-10002095,1200,3,0,375
CA-2017-117240,"2017-07-23","2017-07-28",Standard Class,CP-12340,Corporate,10009,OFF-BI-10000848,13,3,0,4
CA-2017-126046,"2017-11-03","2017-11-07",Standard Class,JC-16105,Corporate,30318,OFF-LA-10004484,12,3,0,6
CA-2015-114923,"2015-02-08","2015-02-13",Standard Class,LH-17020,Consumer,43229,TEC-PH-10003931,108,3,0,-27
CA-2014-162775,"2014-01-13","2014-01-15",Second Class,CS-12250,Corporate,71111,OFF-BI-10004187,6,3,0,3
CA-2015-144267,"2015-08-21","2015-08-23",First Class,NZ-18565,Home Office,94110,OFF-PA-10003657,4,1,0,2
CA-2015-154921,"2015-05-23","2015-05-28",Standard Class,EA-14035,Corporate,29203,OFF-EN-10000056,187,3,0,88
CA-2014-156433,"2014-09-20","2014-09-26",Standard Class,ES-14020,Consumer,94110,OFF-LA-10001569,10,2,0,5
CA-2015-124653,"2015-12-24","2015-12-26",First Class,DB-13120,Corporate,14609,OFF-PA-10002365,13,2,0,6
CA-2016-136133,"2016-08-18","2016-08-23",Second Class,HW-14935,Corporate,10024,OFF-AP-10000576,355,9,0,99
CA-2014-151995,"2014-10-13","2014-10-15",First Class,ZC-21910,Consumer,98026,OFF-AR-10003190,12,4,0,3
CA-2014-151995,"2014-10-13","2014-10-15",First Class,ZC-21910,Consumer,98026,OFF-AP-10000240,214,4,0,62
CA-2017-126956,"2017-08-21","2017-08-28",Standard Class,GT-14710,Consumer,55044,OFF-FA-10002280,35,7,0,17
CA-2017-126956,"2017-08-21","2017-08-28",Standard Class,GT-14710,Consumer,55044,OFF-EN-10004459,15,2,0,7
CA-2017-129462,"2017-06-16","2017-06-21",Second Class,JE-15745,Consumer,41042,TEC-PH-10002085,66,1,0,17
US-2017-156083,"2017-11-04","2017-11-11",Standard Class,JL-15175,Home Office,38401,OFF-PA-10001560,10,2,0,3
CA-2015-100454,"2015-11-20","2015-11-25",Standard Class,BM-11650,Corporate,10035,OFF-AR-10002578,12,4,0,3
CA-2017-107503,"2017-01-01","2017-01-06",Standard Class,GA-14725,Consumer,44052,FUR-FU-10003878,49,4,0,9
CA-2014-133851,"2014-06-09","2014-06-16",Standard Class,CM-12445,Consumer,94122,OFF-SU-10001225,7,2,0,0
CA-2016-140634,"2016-10-03","2016-10-06",Second Class,HL-15040,Consumer,77095,OFF-EN-10001099,16,2,0,5
CA-2014-138296,"2014-12-05","2014-12-12",Standard Class,RC-19825,Consumer,22304,OFF-ST-10002444,25,2,0,7
CA-2014-132962,"2014-09-13","2014-09-16",First Class,JM-15535,Consumer,19143,TEC-AC-10004353,252,5,0,54
CA-2016-140081,"2016-06-20","2016-06-24",Standard Class,CG-12040,Home Office,19120,OFF-PA-10001745,45,8,0,15
US-2017-111745,"2017-11-05","2017-11-06",First Class,RA-19885,Corporate,87401,TEC-AC-10003911,160,1,0,54
CA-2015-120880,"2015-05-29","2015-06-03",Standard Class,JL-15850,Consumer,98105,OFF-BI-10002931,168,5,0,63
CA-2016-120859,"2016-09-01","2016-09-04",First Class,CV-12805,Corporate,94110,OFF-EN-10001335,22,2,0,11
CA-2017-135279,"2017-04-09","2017-04-11",First Class,BS-11800,Home Office,10011,OFF-ST-10001097,502,3,0,0
CA-2014-163419,"2014-11-11","2014-11-14",Second Class,TZ-21580,Consumer,80027,FUR-CH-10000665,604,5,0,75
CA-2016-155488,"2016-11-13","2016-11-17",Standard Class,FM-14290,Home Office,98661,OFF-AR-10002956,44,2,0,11
CA-2017-118437,"2017-06-17","2017-06-21",Second Class,PF-19165,Consumer,98502,OFF-ST-10003722,14,1,0,4
CA-2015-133025,"2015-09-17","2015-09-19",Second Class,MO-17800,Home Office,90036,OFF-PA-10004100,32,5,0,16
CA-2015-108665,"2015-07-06","2015-07-10",Standard Class,KM-16225,Corporate,10011,FUR-FU-10002191,14,2,0,7
CA-2016-109820,"2016-11-20","2016-11-22",First Class,AG-10390,Consumer,45231,OFF-PA-10000955,16,3,0,5
CA-2017-121818,"2017-11-20","2017-11-21",First Class,JH-15430,Consumer,27217,OFF-AR-10004790,29,3,0,2
CA-2016-102981,"2016-09-06","2016-09-09",Second Class,MO-17500,Consumer,10035,FUR-BO-10001811,722,3,0,90
US-2015-153500,"2015-07-03","2015-07-05",First Class,DG-13300,Corporate,19134,FUR-FU-10000293,168,2,0,-29
CA-2015-110667,"2015-04-04","2015-04-08",Standard Class,NF-18595,Home Office,10009,OFF-AR-10000716,11,2,0,4
CA-2017-106943,"2017-11-14","2017-11-19",Standard Class,FO-14305,Consumer,10035,OFF-BI-10003669,9,2,0,3
CA-2016-134348,"2016-11-12","2016-11-19",Standard Class,MS-17710,Consumer,85204,OFF-BI-10004967,4,7,1,-3
CA-2015-110016,"2015-11-29","2015-12-04",Standard Class,BT-11395,Corporate,48227,OFF-PA-10000349,20,4,0,9
CA-2015-165085,"2015-12-27","2015-12-31",Standard Class,BT-11485,Home Office,20735,OFF-AP-10002518,356,2,0,103
CA-2016-112340,"2016-10-21","2016-10-27",Standard Class,NM-18520,Consumer,92503,OFF-PA-10001892,23,3,0,11
US-2016-110156,"2016-11-19","2016-11-24",Standard Class,EH-13945,Consumer,77041,OFF-FA-10003495,58,12,0,22
US-2016-110156,"2016-11-19","2016-11-24",Standard Class,EH-13945,Consumer,77041,OFF-BI-10002609,1,2,1,-2
CA-2017-140585,"2017-12-18","2017-12-23",Second Class,RA-19915,Consumer,92024,FUR-BO-10002206,120,1,0,-13
CA-2015-142755,"2015-09-04","2015-09-08",Standard Class,CS-12355,Consumer,30076,TEC-AC-10002049,620,5,0,112
US-2016-134908,"2016-06-05","2016-06-09",Standard Class,JS-15940,Home Office,19134,OFF-LA-10000973,8,3,0,3
CA-2014-136567,"2014-12-20","2014-12-21",First Class,PS-19045,Home Office,22801,FUR-TA-10001932,2244,7,0,494
CA-2014-126522,"2014-09-01","2014-09-05",Second Class,LT-16765,Consumer,92025,OFF-AR-10004042,54,3,0,16
US-2015-104430,"2015-10-22","2015-10-26",Standard Class,LT-17110,Consumer,61701,OFF-BI-10000301,5,4,1,-8
CA-2016-113621,"2016-12-01","2016-12-05",Standard Class,JE-15745,Consumer,20852,TEC-PH-10003931,180,3,0,45
US-2015-130519,"2015-09-15","2015-09-15",Same Day,NG-18355,Corporate,33065,FUR-FU-10003394,56,1,0,-2
CA-2016-130946,"2016-04-08","2016-04-12",Standard Class,ZC-21910,Consumer,77041,TEC-AC-10001990,432,9,0,65
CA-2016-130946,"2016-04-08","2016-04-12",Standard Class,ZC-21910,Consumer,77041,OFF-BI-10004995,1089,4,1,-1851
US-2017-118087,"2017-09-09","2017-09-13",Standard Class,SP-20620,Corporate,19134,FUR-CH-10004860,141,2,0,-48
CA-2017-100013,"2017-11-06","2017-11-11",Standard Class,ZC-21910,Consumer,90045,OFF-EN-10001219,15,2,0,7
CA-2016-144344,"2016-10-28","2016-10-28",Same Day,PG-18820,Consumer,33437,FUR-FU-10003268,64,2,0,0
CA-2016-128727,"2016-08-29","2016-09-04",Standard Class,MO-17800,Home Office,10024,TEC-PH-10003442,22,4,0,6
US-2016-162859,"2016-02-15","2016-02-22",Standard Class,PG-18820,Consumer,10009,OFF-FA-10000304,9,4,0,4
CA-2014-168494,"2014-12-12","2014-12-14",Second Class,NP-18700,Consumer,93727,FUR-TA-10004619,765,6,0,96
CA-2017-115602,"2017-12-18","2017-12-24",Standard Class,DJ-13630,Consumer,10009,OFF-AR-10002280,39,6,0,17
CA-2017-115602,"2017-12-18","2017-12-24",Standard Class,DJ-13630,Consumer,10009,OFF-AR-10000462,3,2,0,1
CA-2017-144638,"2017-03-10","2017-03-14",Standard Class,MH-18115,Home Office,19013,FUR-FU-10003535,44,2,0,12
CA-2017-105053,"2017-07-07","2017-07-09",Second Class,CS-12355,Consumer,11561,OFF-BI-10001634,17,3,0,6
CA-2017-110380,"2017-09-02","2017-09-07",Standard Class,PF-19225,Consumer,94122,OFF-AR-10000422,7,3,0,2
CA-2016-160815,"2016-09-05","2016-09-06",First Class,TR-21325,Consumer,52402,TEC-PH-10003505,278,3,0,81
CA-2016-119445,"2016-06-26","2016-07-03",Standard Class,GM-14500,Consumer,2908,OFF-ST-10000617,15,5,0,1
CA-2015-124268,"2015-07-04","2015-07-08",Standard Class,AD-10180,Home Office,10035,OFF-AR-10004817,15,3,0,4
CA-2016-163384,"2016-11-10","2016-11-12",First Class,CC-12430,Home Office,94122,OFF-PA-10003172,32,5,0,16
CA-2017-115427,"2017-12-30","2018-01-03",Standard Class,EB-13975,Corporate,94533,OFF-BI-10002103,14,2,0,5
US-2017-126179,"2017-07-03","2017-07-07",Standard Class,CS-12460,Consumer,31907,FUR-FU-10002554,24,1,0,6
CA-2017-127705,"2017-06-02","2017-06-06",Standard Class,AB-10255,Home Office,44052,TEC-PH-10000347,3,1,0,-1
CA-2016-122133,"2016-05-16","2016-05-23",Standard Class,JR-15670,Consumer,6457,OFF-ST-10002574,553,4,0,0
CA-2017-100524,"2017-03-31","2017-04-02",Second Class,CM-12115,Consumer,10011,OFF-PA-10004911,75,8,0,36
CA-2017-113481,"2017-01-02","2017-01-04",First Class,AS-10045,Corporate,28540,TEC-MA-10002178,696,2,1,-28
CA-2014-118339,"2014-03-17","2014-03-24",Standard Class,BN-11515,Consumer,55044,OFF-BI-10000136,36,6,0,17
CA-2017-125199,"2017-10-19","2017-10-25",Standard Class,HM-14860,Corporate,19120,OFF-PA-10004041,24,4,0,7
US-2017-155425,"2017-11-10","2017-11-11",First Class,AB-10600,Corporate,85705,TEC-AC-10001314,240,6,0,-36
US-2017-155425,"2017-11-10","2017-11-11",First Class,AB-10600,Corporate,85705,FUR-CH-10003312,899,4,0,-146
CA-2017-133249,"2017-07-08","2017-07-11",First Class,SZ-20035,Home Office,90660,FUR-FU-10001588,146,5,0,63
CA-2015-120362,"2015-09-14","2015-09-19",Standard Class,CA-12265,Consumer,84604,FUR-TA-10003008,913,5,0,119
CA-2014-126361,"2014-08-04","2014-08-09",Second Class,VD-21670,Consumer,84062,OFF-AP-10003590,1090,3,0,305
US-2016-100566,"2016-09-03","2016-09-09",Standard Class,JK-16120,Home Office,60505,FUR-FU-10003394,84,3,1,-90
US-2016-108504,"2016-02-05","2016-02-05",Same Day,PP-18955,Home Office,30080,TEC-PH-10003645,485,3,0,126
CA-2016-124485,"2016-11-24","2016-11-26",First Class,NC-18340,Consumer,10035,OFF-BI-10000822,17,4,0,6
CA-2016-124485,"2016-11-24","2016-11-26",First Class,NC-18340,Consumer,10035,OFF-PA-10004971,12,2,0,6
CA-2015-126697,"2015-09-21","2015-09-24",First Class,SV-20815,Corporate,77041,TEC-PH-10002922,946,7,0,118
CA-2015-124800,"2015-09-26","2015-09-30",Standard Class,RW-19540,Corporate,85204,OFF-ST-10000798,120,6,0,-1
CA-2014-155271,"2014-05-04","2014-05-04",Same Day,AA-10480,Consumer,6457,FUR-FU-10001473,27,2,0,10
US-2016-128902,"2016-03-11","2016-03-15",Standard Class,MB-18085,Consumer,8360,FUR-TA-10001095,244,2,0,-31
CA-2016-152289,"2016-08-26","2016-08-28",First Class,LC-16930,Corporate,77506,FUR-CH-10002126,1025,6,0,-29
US-2015-105676,"2015-12-01","2015-12-02",Same Day,NM-18520,Consumer,77036,FUR-FU-10004270,7,4,1,-4
US-2017-104955,"2017-03-19","2017-03-24",Standard Class,CG-12040,Home Office,10024,OFF-LA-10003121,29,7,0,13
CA-2016-121958,"2016-11-13","2016-11-17",Standard Class,CS-12505,Consumer,27360,OFF-SU-10000381,52,7,0,6
CA-2014-119032,"2014-11-27","2014-12-03",Standard Class,MS-17770,Consumer,10035,OFF-FA-10003021,4,2,0,1
CA-2017-152485,"2017-09-04","2017-09-08",Standard Class,JD-15790,Consumer,75019,OFF-AR-10001940,13,5,0,4
CA-2017-154935,"2017-12-24","2017-12-29",Standard Class,AR-10540,Consumer,10024,OFF-BI-10003708,18,3,0,6
CA-2015-103793,"2015-03-26","2015-03-31",Standard Class,BV-11245,Corporate,33142,OFF-PA-10001125,74,3,0,23
CA-2014-107181,"2014-02-04","2014-02-08",Standard Class,DB-13270,Home Office,92024,OFF-PA-10000350,34,4,0,16
CA-2015-131338,"2015-08-09","2015-08-12",First Class,NP-18325,Consumer,10024,FUR-TA-10002607,383,9,0,-153
CA-2015-131338,"2015-08-09","2015-08-12",First Class,NP-18325,Consumer,10024,OFF-ST-10000642,42,2,0,3
CA-2015-131338,"2015-08-09","2015-08-12",First Class,NP-18325,Consumer,10024,TEC-AC-10002600,248,4,0,35
CA-2015-122826,"2015-06-23","2015-06-25",Second Class,RD-19480,Consumer,98502,TEC-PH-10004830,202,4,0,23
CA-2014-117317,"2014-10-19","2014-10-19",Same Day,JF-15490,Consumer,90032,OFF-PA-10004519,13,3,0,7
CA-2017-116645,"2017-11-30","2017-12-04",Standard Class,ME-17725,Consumer,19711,OFF-AR-10001044,156,6,0,45
CA-2015-130022,"2015-08-10","2015-08-16",Standard Class,JK-16120,Home Office,55122,OFF-AR-10001915,30,3,0,13
CA-2016-106530,"2016-05-08","2016-05-08",Same Day,CL-12565,Consumer,44105,OFF-PA-10002986,11,2,0,4
CA-2016-106530,"2016-05-08","2016-05-08",Same Day,CL-12565,Consumer,44105,OFF-PA-10004451,10,2,0,4
CA-2014-168984,"2014-11-26","2014-12-02",Standard Class,NW-18400,Consumer,97224,OFF-PA-10001166,16,3,0,5
CA-2014-168984,"2014-11-26","2014-12-02",Standard Class,NW-18400,Consumer,97224,TEC-PH-10000038,438,4,0,-88
CA-2015-111829,"2015-03-19","2015-03-20",First Class,FH-14365,Corporate,98115,OFF-PA-10004359,210,2,0,101
CA-2015-120341,"2015-09-26","2015-09-29",Second Class,SF-20200,Consumer,19143,OFF-BI-10004224,121,6,1,-101
US-2017-132444,"2017-11-18","2017-11-21",First Class,CD-12280,Consumer,98105,TEC-AC-10003832,133,4,0,54
CA-2016-128531,"2016-11-24","2016-11-26",Second Class,NS-18505,Consumer,75217,OFF-ST-10001325,42,5,0,4
US-2015-157154,"2015-01-10","2015-01-15",Standard Class,MM-17920,Consumer,10011,FUR-TA-10001889,1018,4,0,-373
CA-2016-147585,"2016-11-07","2016-11-12",Standard Class,CB-12535,Corporate,94110,FUR-FU-10002597,15,3,0,6
CA-2017-123491,"2017-10-30","2017-11-05",Standard Class,JK-15205,Consumer,94122,TEC-PH-10003505,148,2,0,17
CA-2015-145401,"2015-01-30","2015-02-04",Standard Class,JP-15520,Consumer,77070,OFF-PA-10004405,14,6,0,5
CA-2015-127453,"2015-12-19","2015-12-20",First Class,JK-15370,Consumer,19143,OFF-AP-10002906,4,2,0,0
CA-2015-130204,"2015-09-03","2015-09-09",Standard Class,DB-13120,Corporate,94122,TEC-AC-10003038,18,2,0,3
CA-2015-139094,"2015-11-22","2015-11-27",Standard Class,MO-17800,Home Office,78207,FUR-TA-10004607,207,2,0,-33
US-2015-107349,"2015-07-13","2015-07-15",First Class,SL-20155,Home Office,77095,OFF-BI-10001765,42,6,1,-67
CA-2015-130785,"2015-09-05","2015-09-09",Standard Class,AG-10900,Consumer,92105,FUR-BO-10003159,293,3,0,-21
CA-2016-110254,"2016-08-04","2016-08-08",Standard Class,ML-17755,Home Office,23434,OFF-LA-10002034,10,2,0,5
CA-2017-146024,"2017-03-02","2017-03-08",Standard Class,SC-20770,Corporate,75081,OFF-BI-10003291,12,7,1,-20
CA-2014-118976,"2014-04-28","2014-05-03",Standard Class,MY-18295,Corporate,21215,OFF-AR-10004752,5,2,0,1
CA-2015-154326,"2015-02-15","2015-02-19",Standard Class,RP-19855,Corporate,53142,TEC-PH-10000560,700,2,0,196
CA-2014-102008,"2014-09-30","2014-10-04",Standard Class,RA-19915,Consumer,10011,OFF-PA-10004092,49,1,0,24
CA-2017-158379,"2017-09-22","2017-09-26",Second Class,JA-15970,Consumer,19134,OFF-SU-10002881,4664,7,0,-1049
CA-2016-164938,"2016-02-11","2016-02-13",First Class,PB-19210,Corporate,74133,TEC-PH-10004897,70,7,0,1
CA-2015-125423,"2015-12-13","2015-12-15",Second Class,MC-17575,Consumer,90036,OFF-LA-10001771,10,2,0,5
CA-2016-168956,"2016-02-16","2016-02-20",Standard Class,EA-14035,Corporate,60623,OFF-AP-10004233,92,6,1,-226
CA-2014-103373,"2014-05-18","2014-05-24",Standard Class,BS-11755,Consumer,44105,TEC-PH-10002885,780,2,0,-169
CA-2014-117345,"2014-08-01","2014-08-05",Standard Class,BF-10975,Corporate,28205,OFF-PA-10002377,78,2,0,29
CA-2016-157763,"2016-07-18","2016-07-23",Standard Class,KH-16330,Corporate,42104,FUR-CH-10000988,141,1,0,39
CA-2016-148201,"2016-08-26","2016-08-29",Second Class,CC-12145,Consumer,98103,OFF-PA-10000019,6,1,0,3
CA-2015-109512,"2015-03-05","2015-03-05",Same Day,LF-17185,Consumer,10011,OFF-EN-10002621,29,3,0,15
CA-2016-118570,"2016-11-13","2016-11-17",Standard Class,CC-12430,Home Office,19143,OFF-PA-10001289,217,7,0,79
CA-2014-157623,"2014-03-14","2014-03-18",Standard Class,DK-13225,Corporate,92646,OFF-AR-10003723,3,1,0,1
CA-2014-169775,"2014-08-29","2014-09-02",Second Class,RA-19945,Consumer,33178,OFF-EN-10001749,30,2,0,11
CA-2017-167094,"2017-10-21","2017-10-22",First Class,DK-12835,Corporate,97477,FUR-CH-10000155,478,2,0,48
